   Row     Odds(this row)  Evens(this row)	   Odd Percentage(this row)      Total Odds      Total Evens  	    Total Odds Percentage     
        40               16              24	0.4                                        354             466	0.4317073170731707
        41                4              37	0.0975609756097561                         358             503	0.41579558652729387
        42               20              22	0.47619047619047616                        378             525	0.4186046511627907
        43                8              35	0.18604651162790697                        386             560	0.4080338266384778
        44               30              14	0.6818181818181818                         416             574	0.4202020202020202
        45                8              37	0.17777777777777778                        424             611	0.4096618357487923
        46               16              30	0.34782608695652173                        440             641	0.4070305272895467
        47               16              31	0.3404255319148936                         456             672	0.40425531914893614
        48               32              16	0.6666666666666666                         488             688	0.41496598639455784
        49               23              26	0.46938775510204084                        511             714	0.41714285714285715
        50               47               3	0.94                                       558             717	0.4376470588235294
        51               17              34	0.3333333333333333                         575             751	0.4336349924585219
        52               16              36	0.3076923076923077                         591             787	0.4288824383164006
        53                8              45	0.1509433962264151                         599             832	0.4185883997204752
        54               24              30	0.4444444444444444                         623             862	0.41952861952861953
        55               31              24	0.5636363636363636                         654             886	0.42467532467532465
        56               32              24	0.5714285714285714                         686             910	0.4298245614035088
        57               51               6	0.8947368421052632                         737             916	0.4458560193587417
        58               14              44	0.2413793103448276                         751             960	0.43892460549386325
        59               29              30	0.4915254237288136                         780             990	0.4406779661016949
        60               46              14	0.7666666666666667                         826            1004	0.45136612021857925
        61               12              49	0.19672131147540983                        838            1053	0.44315177154944474
        62               31              31	0.5                                        869            1084	0.44495647721454173
        63               34              29	0.5396825396825397                         903            1113	0.4479166666666667
        64               40              24	0.625                                      943            1137	0.4533653846153846
        65                2              63	0.03076923076923077                        945            1200	0.4405594405594406
        66               30              36	0.45454545454545453                        975            1236	0.44097693351424694
        67               21              46	0.31343283582089554                        996            1282	0.437225636523266
        68               22              46	0.3235294117647059                        1018            1328	0.4339300937766411
        69               18              51	0.2608695652173913                        1036            1379	0.4289855072463768
        70               22              48	0.3142857142857143                        1058            1427	0.42575452716297785
        71               21              50	0.29577464788732394                       1079            1477	0.42214397496087636
        72               25              47	0.3472222222222222                        1104            1524	0.4200913242009132
        73               19              54	0.2602739726027397                        1123            1578	0.4157719363198815
        74               21              53	0.28378378378378377                       1144            1631	0.41225225225225226
        75                8              67	0.10666666666666667                       1152            1698	0.40421052631578946
        76               25              51	0.32894736842105265                       1177            1749	0.40225563909774437
        77               20              57	0.2597402597402597                        1197            1806	0.3986013986013986
        78               23              55	0.2948717948717949                        1220            1861	0.39597533268419344
        79               24              55	0.3037974683544304                        1244            1916	0.39367088607594936
        80               32              48	0.4                                       1276            1964	0.39382716049382716
        81               17              64	0.20987654320987653                       1293            2028	0.3893405600722674
        82               18              64	0.21951219512195122                       1311            2092	0.38524831031442847
        83               17              66	0.20481927710843373                       1328            2158	0.38095238095238093
        84               19              65	0.2261904761904762                        1347            2223	0.3773109243697479
        85               17              68	0.2                                       1364            2291	0.373187414500684
        86               19              67	0.22093023255813954                       1383            2358	0.3696872493985565
        87               18              69	0.20689655172413793                       1401            2427	0.365987460815047
        88               26              62	0.29545454545454547                       1427            2489	0.3644024514811032
        89               17              72	0.19101123595505617                       1444            2561	0.36054931335830215
        90               19              71	0.2111111111111111                        1463            2632	0.3572649572649573
        91               22              69	0.24175824175824176                       1485            2701	0.3547539417104634
        92               22              70	0.2391304347826087                        1507            2771	0.3522674146797569
        93               18              75	0.1935483870967742                        1525            2846	0.3488904140928849
        94               21              73	0.22340425531914893                       1546            2919	0.34624860022396414
        95               26              69	0.2736842105263158                        1572            2988	0.3447368421052632
        96               28              68	0.2916666666666667                        1600            3056	0.3436426116838488
        97               14              83	0.14432989690721648                       1614            3139	0.3395750052598359
        98               16              82	0.16326530612244897                       1630            3221	0.33601319315605027
        99               15              84	0.15151515151515152                       1645            3305	0.3323232323232323
       100               18              82	0.18                                      1663            3387	0.3293069306930693


Odd  Percentage 0.3293069306930693 Even Percentage 0.6706930693069307 
